date,hour,resource_name,resource_type,energy_mw,lmp_dam,lmp_rtm,spread,pnl
2026-07-22,12,OTTAWA_BID:HUB,LD,-1.0,39.78,17.036666666666665,22.743333333333336,-22.743333333333336
2026-07-22,17,OTTAWA_BID:HUB,LD,-1.0,51.2,37.877500000000005,13.322499999999998,-13.322499999999998
2026-07-22,18,OTTAWA_BID:HUB,LD,-1.0,52.92,43.01083333333333,9.909166666666671,-9.909166666666671
2026-07-23,12,OTTAWA_BID:HUB,LD,-1.0,40.05,36.123333333333335,3.9266666666666623,-3.9266666666666623
2026-07-23,17,OTTAWA_BID:HUB,LD,-1.0,57.08,36.96833333333333,20.11166666666667,-20.11166666666667
2026-07-23,18,OTTAWA_BID:HUB,LD,-1.0,58.42,48.90083333333333,9.51916666666667,-9.51916666666667
2026-07-23,19,OTTAWA_BID:HUB,LD,-1.0,63.63,58.28583333333333,5.344166666666673,-5.344166666666673
2026-07-24,16,OTTAWA_BID:HUB,LD,-1.0,53.42,56.365,-2.9450000000000003,2.9450000000000003
2026-07-25,18,OTTAWA_BID:HUB,LD,-1.0,74.64,65.3725,9.267499999999998,-9.267499999999998
2026-07-25,19,OTTAWA_BID:HUB,LD,-1.0,75.21,70.20166666666667,5.008333333333326,-5.008333333333326
2026-07-26,11,OTTAWA_BID:HUB,LD,-1.0,42.77,69.065,-26.294999999999995,26.294999999999995
2026-07-26,13,OTTAWA_BID:HUB,LD,-1.0,53.72,82.2625,-28.542500000000004,28.542500000000004
2026-07-26,18,OTTAWA_BID:HUB,LD,0.0,90.33,100.1325,-9.802499999999995,-0.0
2026-07-26,19,OTTAWA_BID:HUB,LD,0.0,85.92,104.3775,-18.457499999999996,-0.0
2026-07-27,13,OTTAWA_BID:HUB,LD,0.0,99.84,116.42833333333331,-16.58833333333331,-0.0
2026-07-30,9,OTTAWA_BID:HUB,LD,-1.0,45.94,43.95249999999999,1.9875000000000043,-1.9875000000000043
2026-07-30,11,OTTAWA_BID:HUB,LD,-1.0,55.99,39.91916666666667,16.070833333333333,-16.070833333333333
2026-07-30,14,OTTAWA_BID:HUB,LD,-1.0,71.27,61.34916666666667,9.920833333333327,-9.920833333333327
2026-07-30,23,OTTAWA_BID:HUB,LD,0.0,53.99,48.35416666666666,5.635833333333345,0.0
2026-07-31,19,OTTAWA_BID:HUB,LD,-1.0,112.08,101.5275,10.552499999999995,-10.552499999999995
2026-07-31,20,OTTAWA_BID:HUB,LD,-1.0,84.51,71.92083333333333,12.58916666666667,-12.58916666666667
2026-08-01,1,OTTAWA_BID:HUB,LD,-1.0,40.01,62.189166666666665,-22.179166666666667,22.179166666666667
2026-08-01,2,OTTAWA_BID:HUB,LD,-1.0,35.9,36.09166666666667,-0.19166666666666998,0.19166666666666998
2026-08-01,12,OTTAWA_BID:HUB,LD,0.0,74.99,102.865,-27.875,-0.0
2026-08-01,13,OTTAWA_BID:HUB,LD,0.0,84.57,97.79416666666668,-13.22416666666669,-0.0
2026-08-02,12,OTTAWA_BID:HUB,LD,0.0,65.38,33.94416666666667,31.435833333333328,0.0
2026-08-02,13,OTTAWA_BID:HUB,LD,0.0,69.69,34.53666666666667,35.15333333333333,0.0
2026-08-02,21,OTTAWA_BID:HUB,LD,-1.0,46.73,28.246666666666663,18.483333333333334,-18.483333333333334
2026-08-03,13,OTTAWA_BID:HUB,LD,-1.0,51.12,34.71333333333333,16.406666666666666,-16.406666666666666
2026-08-03,14,OTTAWA_BID:HUB,LD,-1.0,54.77,39.07416666666666,15.69583333333334,-15.69583333333334
2026-08-04,11,OTTAWA_BID:HUB,LD,-1.0,40.57,31.889166666666668,8.680833333333332,-8.680833333333332
2026-08-04,12,OTTAWA_BID:HUB,LD,-1.0,58.28,32.35666666666667,25.923333333333332,-25.923333333333332
2026-08-04,23,OTTAWA_BID:HUB,LD,0.0,69.08,41.39166666666667,27.688333333333325,0.0
2026-08-07,1,OTTAWA_BID:HUB,LD,0.0,64.16,148.1675,-84.0075,-0.0
2026-08-07,2,OTTAWA_BID:HUB,LD,0.0,56.19,70.37666666666667,-14.186666666666667,-0.0
2026-08-08,1,OTTAWA_BID:HUB,LD,-1.0,50.97,151.43333333333334,-100.46333333333334,100.46333333333334
2026-08-08,2,OTTAWA_BID:HUB,LD,-1.0,44.27,69.6975,-25.427500000000002,25.427500000000002
2026-08-09,1,OTTAWA_BID:HUB,LD,-1.0,43.66,41.689166666666665,1.9708333333333314,-1.9708333333333314
2026-08-09,2,OTTAWA_BID:HUB,LD,-1.0,42.82,33.925000000000004,8.894999999999996,-8.894999999999996
2026-08-10,1,OTTAWA_BID:HUB,LD,-1.0,42.74,58.4075,-15.667499999999997,15.667499999999997
2026-08-14,1,OTTAWA_BID:HUB,LD,-1.0,46.75,64.2475,-17.497500000000002,17.497500000000002
2026-08-14,2,OTTAWA_BID:HUB,LD,-1.0,37.36,56.29833333333334,-18.93833333333334,18.93833333333334
2026-08-14,23,OTTAWA_BID:HUB,LD,0.0,82.85,106.07,-23.22,-0.0
2026-08-14,24,OTTAWA_BID:HUB,LD,-1.0,50.83,75.05333333333333,-24.22333333333333,24.22333333333333
2026-08-16,11,OTTAWA_BID:HUB,LD,-1.0,53.89,50.29416666666666,3.5958333333333385,-3.5958333333333385
2026-08-16,12,OTTAWA_BID:HUB,LD,0.0,69.34,53.47416666666667,15.865833333333335,0.0
2026-08-16,13,OTTAWA_BID:HUB,LD,0.0,81.78,52.74916666666667,29.030833333333334,0.0
2026-08-16,23,OTTAWA_BID:HUB,LD,-1.0,61.39,96.60583333333334,-35.215833333333336,35.215833333333336
2026-08-18,20,OTTAWA_BID:HUB,LD,-1.0,109.91,47.10999999999999,62.800000000000004,-62.800000000000004
2026-08-18,21,OTTAWA_BID:HUB,LD,-1.0,111.17,86.31083333333333,24.859166666666667,-24.859166666666667
2026-08-18,23,OTTAWA_BID:HUB,LD,0.0,84.01,75.73333333333333,8.27666666666667,0.0
2026-08-18,24,OTTAWA_BID:HUB,LD,-1.0,52.19,40.1375,12.052499999999995,-12.052499999999995
2026-08-19,1,OTTAWA_BID:HUB,LD,-1.0,46.36,49.16166666666667,-2.8016666666666694,2.8016666666666694
2026-08-19,11,OTTAWA_BID:HUB,LD,0.0,78.4,72.3475,6.052500000000009,0.0
2026-08-19,14,OTTAWA_BID:HUB,LD,0.0,88.69,107.93916666666668,-19.24916666666668,-0.0
2026-08-19,21,OTTAWA_BID:HUB,LD,0.0,96.14,49.26833333333334,46.87166666666666,0.0
2026-08-20,11,OTTAWA_BID:HUB,LD,-1.0,51.59,39.40166666666666,12.188333333333347,-12.188333333333347
2026-08-20,13,OTTAWA_BID:HUB,LD,-1.0,63.53,69.10916666666667,-5.579166666666666,5.579166666666666
2026-08-20,19,OTTAWA_BID:HUB,LD,-1.0,96.3,151.51083333333332,-55.210833333333326,55.210833333333326
2026-08-21,12,OTTAWA_BID:HUB,LD,-1.0,54.07,92.58333333333331,-38.513333333333314,38.513333333333314
2026-08-21,13,OTTAWA_BID:HUB,LD,-1.0,69.42,87.02916666666665,-17.609166666666653,17.609166666666653
2026-08-21,19,OTTAWA_BID:HUB,LD,0.0,91.8,73.7725,18.027500000000003,0.0
2026-08-22,11,OTTAWA_BID:HUB,LD,-1.0,53.05,34.11,18.939999999999998,-18.939999999999998
2026-08-22,12,OTTAWA_BID:HUB,LD,-1.0,55.2,36.675,18.525000000000006,-18.525000000000006
2026-08-22,17,OTTAWA_BID:HUB,LD,0.0,87.97,61.7425,26.2275,0.0
2026-08-23,8,OTTAWA_BID:HUB,LD,-1.0,35.81,39.18083333333333,-3.37083333333333,3.37083333333333
2026-08-23,17,OTTAWA_BID:HUB,LD,-1.0,49.29,34.38916666666667,14.900833333333331,-14.900833333333331
2026-08-23,21,OTTAWA_BID:HUB,LD,-1.0,62.31,40.45333333333333,21.85666666666667,-21.85666666666667
2026-08-24,9,OTTAWA_BID:HUB,LD,-1.0,39.31,35.666666666666664,3.643333333333338,-3.643333333333338
2026-08-24,10,OTTAWA_BID:HUB,LD,-1.0,40.14,33.64333333333333,6.49666666666667,-6.49666666666667
2026-08-25,9,OTTAWA_BID:HUB,LD,-1.0,39.51,44.61083333333334,-5.100833333333341,5.100833333333341
2026-08-25,10,OTTAWA_BID:HUB,LD,-1.0,39.57,39.781666666666666,-0.211666666666666,0.211666666666666
2026-08-25,12,OTTAWA_BID:HUB,LD,-1.0,45.0,50.12083333333334,-5.120833333333337,5.120833333333337
2026-08-26,9,OTTAWA_BID:HUB,LD,-1.0,39.3,45.32,-6.020000000000003,6.020000000000003
2026-08-26,11,OTTAWA_BID:HUB,LD,-1.0,39.12,47.36666666666667,-8.24666666666667,8.24666666666667
2026-08-26,12,OTTAWA_BID:HUB,LD,-1.0,43.95,43.49333333333334,0.45666666666666345,-0.45666666666666345
